,Title,Date,Venue,Link
231,Pop Will Eat Itself (PWEI),2024-03-02,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/28c76325-f3a6-40f0-89f5-85746f8f4b46?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
232,MJ Lenderman & The Wind,2024-03-05,Howler,https://www.moshtix.com.au/v2/event/mj-lenderman-the-wind/159449
233,CYMANDE (UK),2024-03-05,Northcote Theatre,https://www.moshtix.com.au/v2/event/cymande-uk/158556
234,Thee Sacred Souls (USA),2024-03-05,The Night Cat,https://www.moshtix.com.au/v2/event/thee-sacred-souls-usa/160173
235,Yussef Dayes,2024-03-06,Forum Melbourne,/shows/show.aspx?sh=YUSSEFDA24&v=FRM
236,"Black Country, New Road",2024-03-08,Forum Melbourne,/shows/show.aspx?sh=BCNR24&v=FRM
237,FROM THE JAM (UK) - The Final Tour: The Greatest Hits,2024-03-08,Northcote Theatre,https://www.moshtix.com.au/v2/event/from-the-jam-uk-the-final-tour-the-greatest-hits/158471
238,WILSN,2024-03-08,The Night Cat,https://www.moshtix.com.au/v2/event/wilsn/159642
239,Teenage Fanclub,2024-03-09,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/0bd0b851-42c6-404a-8bc3-dbb66afe8fd9?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
240,Morcheeba,2024-03-09,Forum Melbourne,/shows/show.aspx?sh=MORCHEEB24&v=FRM
241,José González,2024-03-11,Forum Melbourne,/shows/show.aspx?sh=JOSEGON24&v=FRM
242,Charlotte Adigéry & Bolis Pupul (BEL),2024-03-13,The Night Cat,https://www.moshtix.com.au/v2/event/charlotte-adigery-bolis-pupul-bel/158730
243,Chris Young,2024-03-13,Forum Melbourne,/shows/show.aspx?sh=CHRISYOU24&v=FRM
244,Machine Head,2024-03-15,Forum Melbourne,/shows/show.aspx?sh=MACHINEH24&v=FRM
245,Wilco,2024-03-17,Forum Melbourne,/shows/show.aspx?sh=WILCO24&v=FRM
246,THE DAMNED: Final Australian Tour,2024-03-22,Northcote Theatre,https://tickets.oztix.com.au/outlet/event/01483eec-0269-4080-ab1c-d1cda9f01c51?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Theatre
247,Snarky Puppy,2024-03-25,Forum Melbourne,/shows/show.aspx?sh=SNARKPUP24&v=FRM
248,Filter (USA),2024-04-05,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/546982f3-9aeb-4211-8922-41db6d15afa8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
249,Orange Goblin,2024-04-13,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/729ab767-2ae8-4004-ade3-9a5efdb0a9ef?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
250,"Black Box, Technotronic & N-Trance",2024-04-24,Forum Melbourne,/shows/show.aspx?sh=BLACKBOX24&v=FRM
251,Holy Holy,2024-04-26,Forum Melbourne,/shows/show.aspx?sh=HOLYHOL24&v=FRM
252,The Dandy Warhols,2024-04-28,Forum Melbourne,/shows/show.aspx?sh=DANDYWAR24&v=FRM
253,TesseracT 'War of Being' Australian Tour,2024-05-04,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ed558dac-34ce-45a5-99ff-033840dbdb82?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
254,"TesseracT - ""War of Being"" Australian Tour",2024-05-05,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/f1293820-9c51-4bf5-9c35-898d333d2465?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
255,Melissa Etheridge,2024-05-15,Forum Melbourne,/shows/show.aspx?sh=MELETH24&v=FRM
256,SPARTA (USA) perform 'Wiretap Scars’ in Full,2024-05-18,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/8d45ddfd-be56-4543-bc04-1629a66cb53c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
257,Peter Hook & The Light,2024-05-26,Forum Melbourne,/shows/show.aspx?sh=PETEHOOK24&v=FRM
258,The High Kings (Ireland),2024-06-28,Forum Melbourne,/shows/show.aspx?sh=HIGHKING24&v=FRM
259,Dayseeker,2024-07-13,Forum Melbourne,/shows/show.aspx?sh=DAYSEEK24&v=FRM
260,They Might Be Giants,2024-10-11,Forum Melbourne,/shows/show.aspx?sh=TMBG23&v=FRM
