,Title,Date,Venue,Link
112,Christmas Day Lunch at Stones Corner Hotel,2023-12-25,Corner Hotel,https://tickets.oztix.com.au/outlet/event/8ac9d00b-d5a4-48be-80d9-a84c534d7670?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
113,Technoir's 19th Annual Christmas Party,2023-12-25,Sub Club,https://www.eventbrite.com.au/e/technoirs-19th-annual-christmas-party-tickets-769304198567?aff=ebdssbdestsearch
114,NOW.HERE.THIS. LIVE JAZZ,2023-12-26,The Toff in Town,https://www.moshtix.com.au/v2/event/now-here-this-live-jazz/160093
115,XTSS Boxing Day Riot,2023-12-26,Howler,https://www.moshtix.com.au/v2/event/xtss-boxing-day-riot/159689
116,Tarab Ensemble - Melodies for Palestine,2023-12-28,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/tarab-ensemble-melodies-for-palestine/159997
117,Mr. McClelland's Finishing School Presents NOT NYE,2023-12-29,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/mr-mcclellands-finishing-school-presents-not-nye/159058
118,HYPER TOFF,2023-12-29,The Toff in Town,https://www.moshtix.com.au/v2/event/hyper-toff/160092
119,Adhesion (Single Launch),2023-12-29,The Workers Club,https://tickets.oztix.com.au/outlet/event/41d03a0f-e251-4c16-813e-c9644342fdf4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
120,Matinee: 'Indie Pop Magic' ft. Sarah Light,2023-12-30,The Workers Club,https://tickets.oztix.com.au/outlet/event/f042e6f6-924d-453a-9a17-138eb2092fd6?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
121,Slumberjack + Kinder + Raave Tapes (NYE Party),2023-12-31,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/2408f71b-5abb-4d8d-90f6-63b44ea516a7?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
122,SUNDAYLICIOUS - MELBOURNE,2023-12-31,Northcote Theatre,https://www.moshtix.com.au/v2/event/sundaylicious-melbourne/156844
123,BONEZ Queer Party (NYE),2023-12-31,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/0952764b-603c-45c8-92a0-52ad452e51db?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
124,THE TOFF NYE PARTY!,2023-12-31,The Toff in Town,https://www.moshtix.com.au/v2/event/the-toff-nye-party/160196
125,NYE @ THE NIGHT CAT!  W/ JAZZPARTY & THE ROOKIES,2023-12-31,The Night Cat,https://www.moshtix.com.au/v2/event/nye-the-night-cat-w-jazzparty-the-rookies/159620
126,NOW.HERE.THIS. LIVE JAZZ,2024-01-02,The Toff in Town,https://www.moshtix.com.au/v2/event/now-here-this-live-jazz/160094
127,mclusky (UK),2024-01-02,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/979c473f-3c50-4cce-91e1-bb490cedb084?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
128,Burnt Bails,2024-01-03,The Workers Club,https://tickets.oztix.com.au/outlet/event/5053742d-3a38-46a8-8fb1-2e7592974727?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
129,mclusky (UK),2024-01-03,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/09df9091-2b63-4230-893e-eaddd24da738?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
130,ROMY - Club Mid Air - Australia 2024,2024-01-04,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/ee4dca4e-97e4-4a92-8b80-f93c21cfd3c2?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
131,Overmono,2024-01-04,Forum Melbourne,/shows/show.aspx?sh=OVERMONO24&v=FRM
132,The East Pointers (CAN),2024-01-04,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/19e24c20-1a58-4abd-a1e6-49898adadfbf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
133,COBRAH (SWE),2024-01-04,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/a1eca5c6-3465-46f7-a5a0-e6ae6b98832a?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
134,Declan Mckenna,2024-01-05,Forum Melbourne,/shows/show.aspx?sh=DECLANMC24&v=FRM
135,Nabihah Iqbal (LIVE),2024-01-05,The Night Cat,https://www.moshtix.com.au/v2/event/nabihah-iqbal-live/159457
136,Willie J & The Bad Books,2024-01-06,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/86bed7d8-0765-4c0d-8c2d-277c9d1c8818?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
137,Mario Kart Live! at The Retreat Hotel Brunswick,2024-01-06,280 Sydney Rd,https://www.eventbrite.com.au/e/mario-kart-live-at-the-retreat-hotel-brunswick-tickets-771295965997?aff=ebdssbdestsearch
138,Domingo Latino - Quarter Street,2024-01-07,The Night Cat,https://www.moshtix.com.au/v2/event/domingo-latino-quarter-street/159946
139,Destroy Lonely,2024-01-08,Forum Melbourne,/shows/show.aspx?sh=DESTROYL24&v=FRM
140,NLE Choppa,2024-01-09,Forum Melbourne,/shows/show.aspx?sh=NLECHOP24&v=FRM
141,Elita (CAN) | Australia Tour 2024,2024-01-10,The Night Cat,https://www.moshtix.com.au/v2/event/elita-can-australia-tour-2024/157481
142,The Melbourne Moth StorySLAM: THEMELESS,2024-01-10,Howler,https://www.eventbrite.com/e/the-melbourne-moth-storyslam-themeless-tickets-773204825447?aff=ebdssbdestsearch
143,Austin Millz Australia Tour 2024,2024-01-11,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/796b0eb4-9580-44b8-ace7-04b84b9be2f1?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
144,BRYCE VINE (USA) - The Australia 2024 Tour,2024-01-11,Northcote Theatre,https://www.moshtix.com.au/v2/event/bryce-vine-usa-the-australia-2024-tour/159495
145,OBITUARY ‘Barely Alive’ Australian / New Zealand Tour,2024-01-12,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/fafca142-71dd-4f9f-82a6-57b3e3aeeae2?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
