,Title,Date,Venue,Link
84,Loser – The Stadium Dreams Tour,2023-05-13,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/1cba1106-e4e2-476d-bf1a-7ba1b162df49?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
85,"Supermercado Live feat. Honeysmack, Vanessa Worm, Hedchef & Jani Ho (ALL LIVE)",2023-05-13,The Night Cat,https://www.moshtix.com.au/v2/event/supermercado-live-feat-honeysmack-vanessa-worm-hedchef-jani-ho-all-live/151486
86,Kisschasy – Australian Tour 2023,2023-05-17,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/aba560fc-3b06-493f-9f18-84fdd7a7a3bf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
87,Kisschasy – Australian Tour 2023,2023-05-18,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/fca94a4a-a4e1-4610-8158-ba223848f044?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
88,Estelle Conley,2023-05-18,280 Sydney Rd,https://www.eventbrite.com.au/e/estelle-conley-tickets-615320348727?aff=ebdssbdestsearch
89,Modern Hypnosis presents Ehua (3024 / Nervous Horizons / Rinse FM) (UK),2023-05-19,Miscellania,https://events.humanitix.com/modern-hypnosis-presents-ehua-3024-nervous-horizons-rinse-fm-uk
90,Pierce Brothers,2023-05-19,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/0f3c85c2-aab9-4583-b7b2-589838b1edda?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
91,Bunker presents Fiedel (4 hour set),2023-05-19,Sub Club,https://www.eventbrite.com.au/e/bunker-presents-fiedel-4-hour-set-tickets-594439964937?aff=ebdssbdestsearch
92,STATIC-X (USA) + SOIL (USA),2023-05-19,Northcote Theatre,https://www.moshtix.com.au/v2/event/static-x-usa-soil-usa/148750
93,"Gallery 3rd Birthday ft. Cassettes For Kids (Live), James Pepper, Jazz, Lex, Rino (Live), Suki",2023-05-19,The Night Cat,https://www.moshtix.com.au/v2/event/gallery-3rd-birthday-ft-cassettes-for-kids-live-james-pepper-jazz-lex-rino/151922
94,Luluc,2023-05-19,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/d01ff59e-da7a-4427-9500-ceb3f026ab69?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
95,The High Kings,2023-05-19,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/52e1f7bd-01e3-4994-b4af-1d4523f20fc7?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
96,Kita Alexander – The Self-Titled Tour,2023-05-20,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/8f15132a-9e5b-46f1-b804-75e81f5753a7?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
97,Moody Beaches Acid Ocean Album Launch,2023-05-20,The Night Cat,https://www.moshtix.com.au/v2/event/moody-beaches-acid-ocean-album-launch/151465
98,NORTHEAST PARTY HOUSE - BRAIN FREEZE TOUR,2023-05-20,Northcote Theatre,https://www.moshtix.com.au/v2/event/northeast-party-house-brain-freeze-tour/149927
99,RedHook  Postcard From A Living Hell Tour 2023,2023-05-20,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/a34fe48e-494d-4c3f-b17e-15e4a82eca60?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
100,Calvin Clone,2023-05-20,280 Sydney Rd,https://www.eventbrite.com.au/e/calvin-clone-tickets-618669646567?aff=ebdssbdestsearch
101,Raccoon Dog,2023-05-21,280 Sydney Rd,https://www.eventbrite.com.au/e/raccoon-dog-tickets-609119210957?aff=ebdssbdestsearch
102,Pub Collage Club w/ That Paper joint,2023-05-24,280 Sydney Rd,https://www.eventbrite.com.au/e/pub-collage-club-w-that-paper-joint-tickets-599888361237?aff=ebdssbdestsearch
103,Circa Waves,2023-05-25,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ea2c4473-384b-4b04-979d-2e3b669e2dbf?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
104,Kisschasy – Australian Tour 2023,2023-05-25,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/ffea8787-590a-42c0-bed0-e4b677d66214?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
105,Ella Thompson (EP launch),2023-05-25,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/cfe4c93f-7afd-4d49-8ce5-2f1d9a02d2c8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
106,Ninajirachi – Dark Crystal 2.0,2023-05-26,Miscellania,https://events.humanitix.com/ninajirachi-dark-crystal-2-0
107,DICE ‘Time Will Tell’ Tour,2023-05-26,Corner Hotel,https://tickets.oztix.com.au/outlet/event/9a9a901e-ba60-41fe-854d-33970bd7dd4b?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
108,THE WHISTLIN' DONKEYS (IRE),2023-05-26,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-whistlin-donkeys-ire/150386
109,Relax With Max,2023-05-27,The Night Cat,https://www.moshtix.com.au/v2/event/relax-with-max/151248
110,"JEN CLOHER - I AM THE RIVER, THE RIVER IS ME TOUR",2023-05-27,Northcote Theatre,https://www.moshtix.com.au/v2/event/jen-cloher-i-am-the-river-the-river-is-me-tour/148995
111,Dan Vogl,2023-05-27,280 Sydney Rd,https://www.eventbrite.com.au/e/dan-vogl-tickets-615316386877?aff=ebdssbdestsearch
112,Not On Your Rider,2023-05-28,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/2d424cfd-e09c-4eb5-82f6-a2ddc7d9575e?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
113,BIG FISH LITTLE FISH - FAMILY RAVE,2023-05-28,Northcote Theatre,https://www.moshtix.com.au/v2/event/big-fish-little-fish-family-rave/151056
114,Lucienne Wynne,2023-05-28,280 Sydney Rd,https://www.eventbrite.com.au/e/lucienne-wynne-tickets-615327550267?aff=ebdssbdestsearch
115,The Hard Aches – I Saw The Future Tour,2023-06-02,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/2c6b3384-3bfa-403f-97bf-8dee7c365ea0?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
116,Victor Wooten & The Wooten Brothers (USA),2023-06-02,The Night Cat,https://www.moshtix.com.au/v2/event/victor-wooten-the-wooten-brothers-usa/151539
117,BALL PARK MUSIC - 'GET THE F**KING NERDS BACK ON' TOUR - 2ND SHOW,2023-06-02,Northcote Theatre,https://www.moshtix.com.au/v2/event/ball-park-music-get-the-fking-nerds-back-on-tour-2nd-show/149183
118,Groove Tunes,2023-06-03,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/8dc59d57-5a8f-44aa-a8db-3b2696e6beaa?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
119,BALL PARK MUSIC - 'GET THE F**KING NERDS BACK ON' TOUR,2023-06-03,Northcote Theatre,https://www.moshtix.com.au/v2/event/ball-park-music-get-the-fking-nerds-back-on-tour/148878
120,Alfa Mist,2023-06-03,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/0d451fac-66d6-45f7-940b-6cc456d34a70?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
121,Floodlights,2023-06-09,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/4b9a014b-2b3b-4246-9608-61e17dae2a96?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
122,Hot Glue,2023-06-09,280 Sydney Rd,https://www.eventbrite.com.au/e/hot-glue-tickets-609039382187?aff=ebdssbdestsearch
123,EASYLOVER - ONE DAY MINI FESTIVAL,2023-06-10,Northcote Theatre,https://www.moshtix.com.au/v2/event/easylover-one-day-mini-festival/147401
124,SUNDAYLICIOUS - MELBOURNE,2023-06-11,Northcote Theatre,https://www.moshtix.com.au/v2/event/sundaylicious-melbourne/150914
125,Eli Dan,2023-06-17,280 Sydney Rd,https://www.eventbrite.com.au/e/eli-dan-tickets-604084913237?aff=ebdssbdestsearch
126,BRAD COX,2023-06-17,Northcote Theatre,https://www.moshtix.com.au/v2/event/brad-cox/150810
127,Aus Vrs Vibes with Crown Heights vs. Ras Jahknow Band,2023-06-17,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/c210847a-1a5a-4ca5-b0d5-6f6fd98c310c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
128,Night Slugs ( 15 Years) with BokBok and Girl Unit,2023-06-17,Sub Club,https://www.eventbrite.com.au/e/night-slugs-15-years-with-bokbok-and-girl-unit-tickets-619513560737?aff=ebdssbdestsearch
129,Among The Restless | All I Want Is Everything East Coast Tour,2023-06-23,The Night Cat,https://www.moshtix.com.au/v2/event/among-the-restless-all-i-want-is-everything-east-coast-tour/151893
130,POLYPHIA (USA),2023-06-29,Northcote Theatre,https://www.moshtix.com.au/v2/event/polyphia-usa/150741
131,PUB CHOIR 2ND SHOW,2023-07-19,Northcote Theatre,https://www.moshtix.com.au/v2/event/pub-choir-2nd-show/151605
132,PUB CHOIR,2023-07-20,Northcote Theatre,https://www.moshtix.com.au/v2/event/pub-choir/150857
133,Blake Scott - Early Session,2023-07-24,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/7a66317f-931b-4b22-9a6e-ccfd256ec4ee?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
134,Inspiral Carpets,2023-08-05,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ff059aa6-295e-498b-82b2-a1c3ddc2d086?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
135,DODGY ‘Free Peace Sweet’ Tour,2023-09-23,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/1d2b104d-0816-46b6-8311-bebe32bb381d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
136,Against The Current - Nightmares & Daydreams 2023 Australian Tour,2023-09-30,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/b4439e29-de82-4464-804d-7f7588e51f9b?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
137,Novo Amor,2023-12-09,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/707df566-d747-41c3-ab22-bd19fb0bca47?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
138,L7 performing Bricks Are Heavy,2023-12-15,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ad247182-ad10-4b9d-9083-f99389bd2202?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
139,L7 performing Bricks Are Heavy,2023-12-16,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/e8f5efbb-fb4e-4e48-846b-ca5b2da8bbfe?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
140,POSTPONED - Unwritten Law (USA),2024-03-04,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/40cab87e-48f2-4c1f-9521-378edce8f808?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
