,Title,Date,Venue,Link
38,Grace Cummings,2023-12-22,Howler,https://www.moshtix.com.au/v2/event/grace-cummings/158709
39,HYPER TOFF,2023-12-22,The Toff in Town,https://www.moshtix.com.au/v2/event/hyper-toff/159920
40,Swim State & New Scream,2023-12-22,The Workers Club,https://tickets.oztix.com.au/outlet/event/0403dcec-293d-4be1-9cc1-b34cf24035e5?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
41,A Swingin' Bella Christmas,2023-12-22,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/a-swingin-bella-christmas/158350
42,Bailey Judd at The Retreat Hotel Brunswick,2023-12-22,280 Sydney Rd,https://www.eventbrite.com.au/e/bailey-judd-at-the-retreat-hotel-brunswick-tickets-764256510797?aff=ebdssbdestsearch
43,Milo Eastwood (PBS Breakfast) All Night Long @ The Night Cat,2023-12-22,The Night Cat,https://www.moshtix.com.au/v2/event/milo-eastwood-pbs-breakfast-all-night-long-the-night-cat/159904
44,Dane Blacklock & the Preacher's Daughter,2023-12-22,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/610ffab9-a4de-4d55-bd73-260d608f41b8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
45,"Goodlife End Of Year with Zepherin Saint [Tribe, UK] + Chris NG",2023-12-23,The Toff in Town,https://www.moshtix.com.au/v2/event/goodlife-end-of-year-with-zepherin-saint-tribe-uk-chris-ng/159793
46,HARDGREWV 2.0 // Free Event,2023-12-23,Howler,https://www.moshtix.com.au/v2/event/hardgrewv-2-0-free-event/160355
47,'SEND OFF VOL. III' ft. The Valiants,2023-12-23,The Workers Club,https://tickets.oztix.com.au/outlet/event/fbcd81be-a79c-4ce0-904a-a0d6499a8122?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
48,"Paper-Cuts presents DJ Camov, Paper-Cuts, Toni Yotzi, Venus Flytrap",2023-12-23,Miscellania,https://events.humanitix.com/paper-cuts-presents-dj-camov-paper-cuts-toni-yotzi-venus-flytrap
49,Dan & Al (Xmas Show),2023-12-23,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/77d42bc0-105f-4798-b73e-ced6cee081f5?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
50,SUPER GOOD #002 - Feather Print Records + Friends @ SUB CLUB MELBOURNE,2023-12-23,Sub Club,https://www.eventbrite.com/e/super-good-002-feather-print-records-friends-sub-club-melbourne-tickets-750570214717?aff=ebdssbdestsearch
51,Rhonda Burchmore & The Jack Earle Big Band: A Red Hot Swingin Christmas,2023-12-23,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/rhonda-burchmore-the-jack-earle-big-band-a-red-hot-swingin-christmas/158378
52,The Distant South at The Retreat Hotel Brunswick,2023-12-23,280 Sydney Rd,https://www.eventbrite.com.au/e/the-distant-south-at-the-retreat-hotel-brunswick-tickets-767136625297?aff=ebdssbdestsearch
53,Xmas Eve with Jappa (UK),2023-12-24,Howler,https://www.moshtix.com.au/v2/event/xmas-eve-with-jappa-uk/159990
54,Technoir's 19th Annual Christmas Party,2023-12-25,Sub Club,https://www.eventbrite.com.au/e/technoirs-19th-annual-christmas-party-tickets-769304198567?aff=ebdssbdestsearch
55,Christmas Day Lunch at Stones Corner Hotel,2023-12-25,Corner Hotel,https://tickets.oztix.com.au/outlet/event/8ac9d00b-d5a4-48be-80d9-a84c534d7670?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
56,NOW.HERE.THIS. LIVE JAZZ,2023-12-26,The Toff in Town,https://www.moshtix.com.au/v2/event/now-here-this-live-jazz/160093
57,XTSS Boxing Day Riot,2023-12-26,Howler,https://www.moshtix.com.au/v2/event/xtss-boxing-day-riot/159689
58,Tarab Ensemble - Melodies for Palestine,2023-12-28,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/tarab-ensemble-melodies-for-palestine/159997
59,Born To Salsa,2023-12-28,The Night Cat,https://www.moshtix.com.au/v2/event/born-to-salsa/160507
60,Adhesion (Single Launch),2023-12-29,The Workers Club,https://tickets.oztix.com.au/outlet/event/41d03a0f-e251-4c16-813e-c9644342fdf4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
61,HYPER TOFF,2023-12-29,The Toff in Town,https://www.moshtix.com.au/v2/event/hyper-toff/160092
